Date,"Feb  1, 2026 to Mar  3, 2026"
SRENE - 1g AIO Cart - DayStripper,SRE-1g-CRT-AIO-DAS,100,1500.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1/2 Ounce - Limesicle (Smalls),SRE-14.-MYL-LIS-S,48,1200.00,Half Ounce,Small/Popcorn Buds-Packaged For Sale,14g Smalls Mylar,Wholesale,SSAC (C),Brandon Green,,30.00,,17334914845519714402,
SRENE - 1g Cart - BubbleGum Gary,SRE-1g-CRT-BBG,100,1200.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),,,12.00,,08542800532746610043,
SRENE - 1g - Pre-roll - Tropicana Acai,SRN-PRJ-TRA,350,1175.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,4.00,4.0,17334914845519714402,
SRENE - Purple Slush - Pre Roll - .7g - 5 Pack,SRE- PRJ - PUR - .7 - 5pk,107,1070.00,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Wholesale,SSAC (C),Beau Meyer,,14.00,,17334914845519714402,
Bud - BioFuel,SRE-BUD-BIF,454,998.80,Gram,Marijuana Flowers/Buds,Bulk Flower,Wholesale,SRENE,Garrett Irwin,,2.20,2.2,17334914845519714402,
Bud - Royale Grape,SRE-BUD-ROG,454,998.80,Gram,Marijuana Flowers/Buds,Bulk Flower,Wholesale,SSAC (C),Daniel Maier,,2.20,2.2,17334914845519714402,
Bud - Lemon Rope,SRE-BUD-LER,454,998.80,Gram,Marijuana Flowers/Buds,Bulk Flower,Wholesale,SSAC (C),Daniel Maier,,2.20,,17334914845519714402,
SRENE - 1g Cart - White Out,SRE-1g-CRT-WHO,100,900.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),James Ferrari,,15.00,15.0,08542800532746610043,
VYBZ - 1/2 Ounce - Peach Rings,VYB-14-MYL-PER,35,845.00,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Wholesale,SSAC (C),Brandon Green,,25.00,,17334914845519714402,
SRENE - 1g - Pre-roll - Zero Gravity,SRN-PRJ-ZEG,200,800.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,5.00,4.0,17334914845519714402,
SRENE - 1g AIO Cart - Tropical Breath,SRE-1g-CRT-AIO-TRB,50,750.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1g AIO Cart - Guava Diesel,SRE-1g-CRT-AIO-GD,50,750.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1g AIO Cart - Lemon Haze,SRE-1g-CRT-AIO-LEH,50,750.00,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Wholesale,SSAC (P),Brandon Green,,15.00,,08542800532746610043,
SRENE - 1g Cart - Royale Haze,SRE-1g-CRT-ROH,50,450.00,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Wholesale,SSAC (P),Brandon Green,,12.00,12.0,08542800532746610043,
10mg SRENE Gummy - Hibiscus Elderberry - 10pk,SRENE-10P-HEB,50,425.00,Unit,Infused Edible,10pk Gummy,Wholesale,SSAC (P),Clinton Fontes,,9.00,,08542800532746610043,
Vybz - 1g - Pre-roll - GovernMint Oasis,VYB-PRJ-GOO,50,200.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),James Ferrari,,5.00,5.0,17334914845519714402,
LEVEL Protab - Hybrid - 2pk - 50mg,LEV-PRO-2P-HYB,40,160.00,Unit,Capsule/Tablet,LEVEL - 2pk,Wholesale,SSAC (P),James Ferrari,,6.00,,08542800532746610043,
SRENE - 1/2 Ounce - Tropicana Acai (Smalls),SRE-14S-MYL-TRA,6,132.00,Half Ounce,Small/Popcorn Buds-Packaged For Sale,14g Smalls Mylar,Wholesale,SSAC (C),Brandon Green,,25.00,,17334914845519714402,
Vybz - 1g - Pre-roll - Tropicana Acai,VYB-PRJ-TRA,50,100.00,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Wholesale,SSAC (P),Brandon Green,,5.00,4.0,17334914845519714402,
3P - DRH - 1/2 Ounce - Acai Cookies,3P - DRH - 1/2 - ACA,2087,20.87,Half Ounce,Services,14 gram - SERVICES,Third Party Services,Tahoe - Reno Botanicals LLC,Brandon Green,,0.00,,08542800532746610043,
3P - DRH - 1/2 Ounce - Oreoz,3P - DRH - 1/2 - ORE,905,9.05,Half Ounce,Services,14 gram - SERVICES,Third Party Services,Tahoe - Reno Botanicals LLC,Brandon Green,,0.00,,08542800532746610043,
SRENE - 1g - Pre-roll - DayStripper - TESTER,SRN-PRJ-DAS-T,319,3.19,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Tester,SSAC (P),Jonathan  Shimamura,,0.01,5.0,17334914845519714402,
3P - DRH - 1/2 Ounce - Dolato,3P - DRH - 1/2 - DOL,305,3.05,Half Ounce,Services,14 gram - SERVICES,Third Party Services,Tahoe - Reno Botanicals LLC,Brandon Green,,0.00,,08542800532746610043,
3P - DRH - 1/2 Ounce - Khalifa Kush,3P - DRH - 1/2 - KHA,250,2.50,Half Ounce,Services,14 gram - SERVICES,Third Party Services,Tahoe - Reno Botanicals LLC,Brandon Green,,0.00,,08542800532746610043,
SRENE - Bad Boy Infused Hot Sauce - 100mg - TESTER,SRE-BBH-1OZ-T,150,1.50,Unit,Infused Edible,Hot Sauce - 1oz,Tester,SSAC (P),,,0.01,,08542800532746610043,
SRENE - 1g - Pre-roll - Melonade - TESTER,SRN-PRJ-MEL-T,138,1.38,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Tester,SSAC (P),Jonathan  Shimamura,,0.01,4.0,17334914845519714402,
SRENE - 3.5 grams - Jar - Rose Sorbet - TESTER,SRE-3.5-JAR-ROS-T,105,1.05,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - Bad Boy Infused Hot Sauce - 100mg - PROMO,SRE-BBH-1OZ-P,100,1.00,Unit,Infused Edible,Hot Sauce - 1oz,Promo,SSAC (P),,,0.01,,08542800532746610043,
VYBZ - 3.5 grams - Tropicana Acai - TESTER,VYB-3.5-MYL-TRA-T,99,0.99,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Tester,SSAC (C),Jonathan  Shimamura,,0.01,0.01,17334914845519714402,
SRENE - BioFuel - Pre Roll - .7g - 5 Pack - TESTER,SRE- PRJ - BIO - .7 - 5pk-T,92,0.92,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - 1g Cart - Strange Haze #8 - TESTER,SRE-1g-CRT-SH8-T,82,0.82,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
LEVEL Protab - Sativa - 10pk - 10mg - PROMO,LEV-PRO-10P-SAT-10mg-P,80,0.80,Unit,Capsule/Tablet,LEVEL - 10pk,Promo,SSAC (P),Jonathan  Shimamura,,0.01,16.0,08542800532746610043,
LEVEL Protab - Indica - 10pk - 10mg - PROMO,LEV-PRO-10P-IND-10mg-P,80,0.80,Unit,Capsule/Tablet,LEVEL - 10pk,Promo,SSAC (P),Jonathan  Shimamura,,0.01,16.0,08542800532746610043,
3P - DRH - 1/2 Ounce - Sticky Bunz,3P - DRH - 1/2 - STI,74,0.74,Half Ounce,Services,14 gram - SERVICES,Third Party Services,Tahoe - Reno Botanicals LLC,Brandon Green,,0.00,,08542800532746610043,
LEVEL Protab - Indica - 2pk - 50mg - PROMO,LEV-PRO-2P-IND-P,60,0.60,Unit,Capsule/Tablet,LEVEL - 2pk,Promo,SSAC (P),Clint Davidson,,0.01,,08542800532746610043,
LEVEL Protab - Sativa - 2pk - 50mg - PROMO,LEV-PRO-2P-SAT-P,60,0.60,Unit,Capsule/Tablet,LEVEL - 2pk,Promo,SSAC (P),Clint Davidson,,0.01,,08542800532746610043,
LEVEL Protab - Sativa - 10pk - 10mg - TESTER,LEV-PRO-10P-SAT-10mg -T,55,0.55,Unit,Capsule/Tablet,LEVEL - 10pk,Tester,SSAC (P),Jonathan  Shimamura,,0.01,16.0,08542800532746610043,
LEVEL Protab - Indica - 10pk - 10mg - TESTER,LEV-PRO-10P-IND-10mg-T,55,0.55,Unit,Capsule/Tablet,LEVEL - 10pk,Tester,SSAC (P),Jonathan  Shimamura,,0.01,16.0,08542800532746610043,
SRENE - 1g AIO Cart - Guava Diesel - TESTER,SRE-1g-CRT-AIO-GD-T,50,0.50,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
SRENE - 1g Cart - Purple Haze - TESTER,SRE-1g-CRT-PUH-T,46,0.46,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
Vybz - 1g - Pre-roll - GovernMint Oasis - TESTER,VYB-PRJ-GOO-T,40,0.40,Unit,Pre-rolled cigs/joints,1g Pre-Roll,Tester,SSAC (P),Jake Winn,,0.01,4.0,17334914845519714402,
SRENE - Royale Grape - Pre Roll - .7g - 5 Pack - TESTER,SRE- PRJ - ROY - .7 - 5pk-T,37,0.37,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
1mg SRENE Gummy - Dragon Fruit Pineapple - 100pk - TESTER,SRENE-100-DFP-T,36,0.36,Unit,Infused Edible,100pk Gummy,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
1mg SRENE Gummy - Cherry Cola - 100pk - TESTER,SRENE-100-CHC-T,36,0.36,Unit,Infused Edible,100pk Gummy,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
SRENE - 3.5 grams - Jar - DayStripper - TESTER,SRE-3.5-JAR-DAY-T,35,0.35,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Tester,SSAC (C),,,0.01,,17334914845519714402,
SRENE - Space Junky - Pre Roll - .7g - 5 Pack - TESTER,SRE- PRJ - SPA - .7 - 5pk-T,35,0.35,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - Zero Gravity - Pre Roll - .7g - 5 Pack - TESTER,SRE- PRJ - ZER - .7 - 5pk -T,29,0.29,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - 1g Cart - DayStripper - TESTER,SRE-1g-CRT-DSS-T,29,0.29,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
SRENE - 1g Cart - Guava Diesel - TESTER,SRE-1g-CRT-GD-T,25,0.25,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,12.0,08542800532746610043,
SRENE - 1g AIO Cart - Royale Haze - TESTER,SRE-1g-CRT-AIO-ROH-T,25,0.25,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
SRENE - 3.5 grams - Jar - Strange Haze #8 - TESTER,SRE-3.5-JAR-STH-T,25,0.25,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Tester,SSAC (C),,,0.01,,17334914845519714402,
SRENE - 1g Cart - Tropicana Acai Slush - TESTER,SRE-1g-CRT-TAS-T,22,0.22,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
SRENE - Sin City Funk - Pre Roll - .7g - 5 Pack - TESTER,SRE- PRJ - SCF - .7 - 5pk-T,21,0.21,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
2mg SRENE Gummy - Strawberry Champagne - 50pk,SRENE-50P-STC,20,0.20,Unit,Infused Edible,50pk Gummy,Wholesale,SSAC (P),Clinton Fontes,,11.50,,08542800532746610043,
SRENE - 30ml Tincture - Rise and Shine - 2:1:1 - 100mg - TESTER,SRE-TNC-V30-R&S-T,19,0.19,Unit,Tinctures (Each),Tinc - Rise&Shine,Tester,SSAC (P),Jake Winn,,0.01,,08542800532746610043,
SRENE - 1g AIO Cart - Tropicana Acai Slush - TESTER,SRE-1g-CRT-AIO-TAS-T,19,0.19,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
SRENE - 3.5 grams - Jar - Space Junky - TESTER,SRE-3.5-JAR-SPJ-T,14,0.14,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Tester,SSAC (C),Brandon Green,12.00,0.01,0.01,17334914845519714402,
SRENE - 1/2 Ounce - Melonade - TESTER,SRE-14.-MYL-MEL-T,10,0.10,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - 30ml Tincture - Rest and Recharge - 4:2:1:1 - 100mg - TESTER,SRE-TNC-V30-R&R-T,10,0.10,Unit,Tinctures (Each),Tinc - Rest&Recharge,Tester,SSAC (P),Jake Winn,,0.01,,08542800532746610043,
SRENE - 1g Cart - BioFuel - TESTER,SRE-1g-CRT-BIO-T,10,0.10,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Tester,SSAC (P),Brandon Green,,0.01,15.0,08542800532746610043,
SRENE - 1/2 Ounce - Strange Haze #8 - TESTER,SRE-14.-MYL-STH-T,9,0.09,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Tester,SSAC (C),,,0.01,,17334914845519714402,
SRENE - Melonade - Pre Roll - .7g - 2 Pack - TESTER,SRE- PRJ - MEL - 2pk-T,9,0.09,Unit,Pre-rolled cigs/joints,2pk Pre-Roll,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - 1g AIO Cart - Blueberry Moon - TESTER,SRE-1g-CRT-AIO-BLM -T,7,0.07,Unit,Non-Solvent Based Concentrate (Each),1g AIO Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
LEVEL Hashtab - Sativa - 4pk - 25mg - TESTER,LEV-HAS-4PK-SAT-T,5,0.05,Unit,Capsule/Tablet,LEVEL - 4pk,Tester,SSAC (P),Clint Davidson,,0.01,,08542800532746610043,
LEVEL Hashtab - Indica - 4pk - 25mg - TESTER,LEV-HAS-4PK-IND-T,5,0.05,Unit,Capsule/Tablet,LEVEL - 4pk,Tester,SSAC (P),,,0.01,,08542800532746610043,
SRENE - 3.5 grams - Jar - Royale Grape - DISPLAY,SRE-3.5-JAR-ROG-D,4,0.04,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Display,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
VYBZ - 3.5 grams - O.B.X. - DISPLAY,VYB-3.5-MYL-OBX-D,4,0.04,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Display,SSAC (C),Jonathan  Shimamura,,0.01,12.5,17334914845519714402,
SRENE - 3.5 grams - Jar - Space Junky- DISPLAY,SRE-3.5-JAR-SPJ-D,3,0.03,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Display,SSAC (C),Jonathan  Shimamura,,0.01,18.0,17334914845519714402,
SRENE - 3.5 grams - Jar - Strange Haze #8 - DISPLAY,SRE-3.5-JAR-STH-D,3,0.03,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Display,SSAC (C),,,0.01,,17334914845519714402,
SRENE - 1g Cart - BubbleGum Gary - TESTER,SRE-1g-CRT-BBG -T,3,0.03,Unit,Non-Solvent Based Concentrate (Each),1g Cart,Tester,SSAC (P),Jonathan  Shimamura,,0.01,,08542800532746610043,
SRENE - 3.5 grams - Jar - Sin City Funk - DISPLAY,SRE-3.5-JAR-SCF-D,3,0.03,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Display,SSAC (C),Jonny Becerra,,0.01,,17334914845519714402,
VYBZ - 3.5 grams - O.B.X.- TESTER,VYB-3.5-MYL-OBX-T,2,0.02,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Tester,SSAC (C),Jonathan  Shimamura,,0.01,12.5,17334914845519714402,
VYBZ - 3.5 grams - Purple Slush - TESTER,VYB-3.5-MYL-PUS-T,2,0.02,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Tester,SSAC (C),James Ferrari,,0.01,,17334914845519714402,
VYBZ - 3.5 grams - Melonade - DISPLAY,VYB-3.5-MYL-MEL-D,2,0.02,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Display,SSAC (C),Jonathan  Shimamura,,0.01,10.0,17334914845519714402,
SRENE - 3.5 grams - Jar - Limesicle - DISPLAY,SRE-3.5-JAR-LIM-D,2,0.02,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Display,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - 1/2 Ounce - Stripper Glitter - TESTER,SRE-14.-MYL-STG-T,2,0.02,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - Rose Sorbet - Pre Roll - .7g - 5 Pack - TESTER,SRE- PRJ - ROS - .7 - 5pk-T,2,0.02,Unit,Pre-rolled cigs/joints,5pk Pre-Roll,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - 3.5 grams - Jar - Zero Gravity - DISPLAY,SRE-3.5-JAR-ZEG-D,2,0.02,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Display,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
VYBZ - 3.5 grams - Purple Slush - DISPLAY,VYB-3.5-MYL-PUS-D,2,0.02,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Display,SSAC (C),James Ferrari,,0.01,,17334914845519714402,
Bud - GovernMint Oasis,SRE-BUD-GOO,1691,0.01,Gram,Marijuana Flowers/Buds,Bulk Flower,Wholesale,SSAC (C),Garrett Irwin,,2.20,2.2,17334914845519714402,
SRENE - 1/2 Ounce - BioFuel - TESTER,SRE-14.-MYL-BIF-T,1,0.01,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - 3.5 grams - Jar - Stripper Glitter - DISPLAY,SRE-3.5-JAR-STG-D,1,0.01,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Jar,Display,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
SRENE - 1/2 Ounce - Space Junky - TESTER,SRE-14.-MYL-SPJ-T,1,0.01,Half Ounce,Marijuana Flowers/Buds-Packaged,14g Mylar,Tester,SSAC (C),Jonathan  Shimamura,,0.01,,17334914845519714402,
VYBZ - 3.5 grams - GovernMint Oasis - DISPLAY,VYB-3.5-MYL-GOO-D,1,0.01,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Display,SSAC (C),James Ferrari,,0.01,,17334914845519714402,
VYBZ - 3.5 grams - HoneyDew - TESTER,VYB-3.5-MYL-HOD-T,1,0.01,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Tester,SSAC (C),Jonathan  Shimamura,,0.01,0.01,17334914845519714402,
VYBZ - 3.5 grams - Tropicana Acai - DISPLAY,VYB-3.5-MYL-TRA-D,1,0.01,Eighth,Marijuana Flowers/Buds-Packaged,3.5g Mylar,Display,SSAC (C),Jonathan  Shimamura,,0.01,10.0,17334914845519714402,
Trim - Space Junky,SRE-TRM-SPJ,8225,0.01,Gram,Shake/Trim,Bulk Shake/Trim,,SSAC (C),Daniel Maier,,0.00,,17334914845519714402,
Trim - Sin City Funk,SRE-TRM-SCF,781.4,0.00,Gram,Shake/Trim,Bulk Shake/Trim,Wholesale,SSAC (C),Garrett Irwin,,0.00,,17334914845519714402,
Trim - Royale Grape,SRE-TRM-ROG,12265.4,0.00,Gram,Shake/Trim,Bulk Shake/Trim,,SSAC (C),Daniel Maier,,0.00,,17334914845519714402,
Trim - DayStripper,SRE-TRM-DAY,9649,0.00,Gram,Shake/Trim,Bulk Shake/Trim,Wholesale,SSAC (C),James Ferrari,,0.00,,17334914845519714402,
Trim - BioFuel,SRE-TRM-BIF,2366,0.00,Gram,Shake/Trim,Bulk Shake/Trim,,SRENE,Garrett Irwin,,0.00,,17334914845519714402,
Trim - Rose Sorbet,SRE-TRM-ROS,948,0.00,Gram,Shake/Trim,Bulk Shake/Trim,,SSAC (C),Daniel Maier,,0.00,,17334914845519714402,
Trim - Purple Slush,SRE-TRM-PUS,6262.4,0.00,Gram,Shake/Trim,Bulk Shake/Trim,Wholesale,SSAC (C),Garrett Irwin,,0.00,,17334914845519714402,
Trim - Purple Haze,SRE-TRM-PUH,338,0.00,Gram,Shake/Trim,Bulk Shake/Trim,Wholesale,SSAC (C),Garrett Irwin,,0.00,,17334914845519714402,
Trim - O.B.X.,SRE-TRM-OBX,1176,0.00,Gram,Shake/Trim,Bulk Shake/Trim,Wholesale,SRENE,Garrett Irwin,,0.00,,17334914845519714402,
Trim - Melonade,SRE-TRM-MEL,6687.8,0.00,Gram,Shake/Trim,Bulk Shake/Trim,,SSAC (C),Daniel Maier,,0.00,,17334914845519714402,
Trim - Limesicle,SRE-TRM-LIM,3797.4,0.00,Gram,Shake/Trim,Bulk Shake/Trim,,SSAC (C),Daniel Maier,,0.00,,17334914845519714402,
Trim - Lemon Rope,SRE-TRM-LER,3506,0.00,Gram,Shake/Trim,Bulk Shake/Trim,,SSAC (C),Daniel Maier,,0.00,,17334914845519714402,
Trim - Zero Gravity,SRE-TRM-ZEG,1185.6,0.00,Gram,Shake/Trim,Bulk Shake/Trim,,SSAC (C),Daniel Maier,,0.00,,17334914845519714402,
Trim - Tropicana Acai,SRE-TRM-TRA,11886.8,0.00,Gram,Shake/Trim,Bulk Shake/Trim,Wholesale,SRENE,Garrett Irwin,,0.00,,17334914845519714402,
Trim - Stripper Glitter,SRE-TRM-STG,7585.4,0.00,Gram,Shake/Trim,Bulk Shake/Trim,,SSAC (C),Daniel Maier,,0.00,,17334914845519714402,
Trim - GovernMint Oasis,SRE-TRM-GOO,445,0.00,Gram,Shake/Trim,Bulk Shake/Trim,Wholesale,SSAC (C),Garrett Irwin,,0.00,,17334914845519714402,
Trim - Strange Haze #8,SRE-TRM-SH8,5484.2,0.00,Gram,Shake/Trim,Bulk Shake/Trim,Wholesale,SSAC (C),,,0.00,,17334914845519714402,
